epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0474,2.10909,2.56854,1.54454,0.4443,0.46046,0.40183,0.15292,2.07333,1.83631,1.59821,0.000551185,0.000551185,0.000551185
2,106.285,2.00451,1.77612,1.4588,0.36284,0.46333,0.33238,0.12397,2.17497,1.93184,1.69321,0.00110137,0.00110137,0.00110137
3,158.918,1.96251,1.77147,1.46142,0.40437,0.41527,0.34569,0.13086,2.15137,2.03564,1.75175,0.00164606,0.00164606,0.00164606
4,209.609,1.92658,1.72874,1.44313,0.49452,0.46911,0.46434,0.19998,1.93818,1.83422,1.54361,0.00164225,0.00164225,0.00164225
5,260.221,1.88024,1.67523,1.42491,0.51602,0.47114,0.46388,0.19446,2.00158,1.81045,1.62377,0.00163399,0.00163399,0.00163399
6,310.649,1.86778,1.67408,1.42826,0.50478,0.46373,0.47118,0.21251,1.91504,1.78455,1.52156,0.00162574,0.00162574,0.00162574
7,362.202,1.83887,1.60493,1.40679,0.53121,0.53904,0.53377,0.24842,1.82411,1.71156,1.50411,0.00161749,0.00161749,0.00161749
8,414.021,1.8065,1.57837,1.38105,0.4986,0.51033,0.49964,0.21561,1.91608,1.64226,1.49119,0.00160924,0.00160924,0.00160924
9,464.605,1.79037,1.59607,1.36724,0.52413,0.50666,0.52324,0.25222,1.8023,1.55506,1.43035,0.00160099,0.00160099,0.00160099
10,515.248,1.76402,1.54799,1.36418,0.53327,0.51051,0.53459,0.25497,1.83112,1.54004,1.50231,0.00159274,0.00159274,0.00159274
11,566.14,1.75234,1.51264,1.34781,0.56928,0.5192,0.52807,0.24058,1.83797,1.59215,1.42558,0.00158448,0.00158448,0.00158448
12,617.918,1.7102,1.49354,1.33493,0.59325,0.58797,0.59809,0.28896,1.77391,1.47408,1.41141,0.00157623,0.00157623,0.00157623
13,669.032,1.73696,1.49292,1.34235,0.58307,0.54599,0.55936,0.25877,1.77457,1.47461,1.42903,0.00156798,0.00156798,0.00156798
14,720.037,1.71151,1.45216,1.33789,0.63638,0.57545,0.61242,0.29828,1.79763,1.40298,1.43123,0.00155973,0.00155973,0.00155973
15,769.449,1.69518,1.45042,1.33641,0.65467,0.55173,0.62447,0.30605,1.71362,1.41271,1.40196,0.00155148,0.00155148,0.00155148
16,821.461,1.67845,1.42732,1.30135,0.62033,0.60493,0.63497,0.31023,1.72388,1.31897,1.4179,0.00154323,0.00154323,0.00154323
17,872.846,1.70283,1.4219,1.31697,0.65398,0.59128,0.63436,0.31769,1.65928,1.40789,1.38267,0.00153497,0.00153497,0.00153497
18,924.19,1.64575,1.39821,1.31323,0.66635,0.58165,0.64493,0.3304,1.66952,1.34399,1.38354,0.00152672,0.00152672,0.00152672
19,975.49,1.65834,1.4156,1.31434,0.65212,0.61297,0.66294,0.33136,1.68269,1.31478,1.37124,0.00151847,0.00151847,0.00151847
20,1026.41,1.66633,1.38725,1.29777,0.67171,0.6218,0.66292,0.33237,1.66578,1.28495,1.37335,0.00151022,0.00151022,0.00151022
21,1078.34,1.62441,1.35702,1.29285,0.66961,0.56036,0.63182,0.30436,1.76848,1.35078,1.42336,0.00150197,0.00150197,0.00150197
22,1129.89,1.63478,1.36278,1.29434,0.6523,0.60142,0.6581,0.32469,1.75002,1.31252,1.42307,0.00149372,0.00149372,0.00149372
23,1181.4,1.63211,1.33824,1.29106,0.70034,0.58779,0.64343,0.32695,1.66175,1.40659,1.37886,0.00148546,0.00148546,0.00148546
24,1233.35,1.62107,1.34348,1.2869,0.67524,0.63333,0.68177,0.3496,1.65353,1.2673,1.34989,0.00147721,0.00147721,0.00147721
25,1284.74,1.63412,1.34271,1.28893,0.69797,0.63818,0.67616,0.35354,1.64113,1.25057,1.34318,0.00146896,0.00146896,0.00146896
26,1339.84,1.5971,1.31878,1.2615,0.72176,0.61137,0.6936,0.36856,1.63028,1.21942,1.3295,0.00146071,0.00146071,0.00146071
27,1391.39,1.61451,1.30366,1.27337,0.68216,0.65623,0.70853,0.36649,1.6514,1.22925,1.33109,0.00145246,0.00145246,0.00145246
28,1444.1,1.59562,1.31277,1.27016,0.70329,0.62784,0.69366,0.37125,1.64271,1.23007,1.32957,0.00144421,0.00144421,0.00144421
29,1495.73,1.59726,1.29484,1.2765,0.70775,0.61858,0.69558,0.36908,1.60141,1.2039,1.32628,0.00143595,0.00143595,0.00143595
30,1548.09,1.58092,1.293,1.27026,0.73449,0.64511,0.71277,0.37647,1.59532,1.19612,1.34246,0.0014277,0.0014277,0.0014277
31,1599.98,1.57553,1.2962,1.26128,0.74788,0.63541,0.71971,0.38994,1.55691,1.18595,1.31308,0.00141945,0.00141945,0.00141945
32,1653.16,1.60319,1.28765,1.27721,0.73038,0.62237,0.70016,0.35935,1.64121,1.20687,1.34425,0.0014112,0.0014112,0.0014112
33,1704.58,1.57066,1.27012,1.25795,0.74909,0.6264,0.72004,0.38058,1.59641,1.177,1.31729,0.00140295,0.00140295,0.00140295
34,1756.12,1.5687,1.28631,1.26188,0.72855,0.65585,0.71399,0.37195,1.62077,1.18352,1.33067,0.0013947,0.0013947,0.0013947
35,1808.05,1.5808,1.27758,1.26446,0.69787,0.60748,0.67392,0.35074,1.62022,1.23828,1.3238,0.00138644,0.00138644,0.00138644
36,1859.57,1.55256,1.26488,1.25419,0.67256,0.64823,0.70875,0.36927,1.63888,1.24076,1.35345,0.00137819,0.00137819,0.00137819
37,1911.25,1.5569,1.24455,1.25375,0.76575,0.64187,0.72784,0.38694,1.59275,1.17025,1.31552,0.00136994,0.00136994,0.00136994
38,1962.92,1.53436,1.24826,1.23632,0.64821,0.63031,0.67234,0.35405,1.61998,1.2301,1.31828,0.00136169,0.00136169,0.00136169
39,2014.65,1.54797,1.25086,1.25313,0.75555,0.66461,0.74024,0.39224,1.59367,1.11137,1.30095,0.00135344,0.00135344,0.00135344
40,2066.39,1.5186,1.26383,1.23343,0.7089,0.61396,0.69718,0.3534,1.67185,1.26106,1.35589,0.00134519,0.00134519,0.00134519
